State,Hour,Month,Predicted_Severity,Accident_Count,Correct_Preds,Prediction_Accuracy
AL,0,1,2.0,23,11,0.4782608695652174
AL,0,1,3.0,3,0,0.0
AL,0,2,2.0,18,7,0.3888888888888889
AL,0,2,3.0,3,1,0.3333333333333333
AL,0,2,4.0,1,0,0.0
AL,0,3,1.0,2,0,0.0
AL,0,3,2.0,21,6,0.2857142857142857
AL,0,3,3.0,2,0,0.0
AL,0,4,1.0,2,1,0.5
AL,0,4,2.0,10,3,0.3
AL,0,4,3.0,3,0,0.0
AL,0,4,4.0,1,0,0.0
AL,0,5,1.0,2,1,0.5
AL,0,5,2.0,17,5,0.29411764705882354
AL,0,5,3.0,2,0,0.0
AL,0,5,4.0,4,1,0.25
AL,0,6,1.0,2,0,0.0
AL,0,6,2.0,11,3,0.2727272727272727
AL,0,6,3.0,3,0,0.0
AL,0,6,4.0,1,0,0.0
AL,0,7,2.0,18,8,0.4444444444444444
AL,0,7,3.0,3,0,0.0
AL,0,7,4.0,2,1,0.5
AL,0,8,2.0,18,6,0.3333333333333333
AL,0,8,3.0,6,0,0.0
AL,0,9,1.0,1,1,1.0
AL,0,9,2.0,19,6,0.3157894736842105
AL,0,9,3.0,4,1,0.25
AL,0,10,1.0,1,0,0.0
AL,0,10,2.0,21,10,0.47619047619047616
AL,0,10,3.0,3,1,0.3333333333333333
AL,0,10,4.0,2,0,0.0
AL,0,11,1.0,2,1,0.5
AL,0,11,2.0,31,17,0.5483870967741935
AL,0,11,3.0,2,0,0.0
AL,0,12,1.0,1,0,0.0
AL,0,12,2.0,22,13,0.5909090909090909
AL,0,12,3.0,6,1,0.16666666666666666
AL,0,12,4.0,1,0,0.0
AL,1,1,1.0,1,0,0.0
AL,1,1,2.0,19,9,0.47368421052631576
AL,1,1,3.0,5,2,0.4
AL,1,2,1.0,2,1,0.5
AL,1,2,2.0,10,1,0.1
AL,1,2,3.0,1,0,0.0
AL,1,3,1.0,1,0,0.0
AL,1,3,2.0,25,7,0.28
AL,1,3,4.0,1,0,0.0
AL,1,4,1.0,2,0,0.0
AL,1,4,2.0,16,5,0.3125
AL,1,4,3.0,4,0,0.0
AL,1,4,4.0,1,0,0.0
AL,1,5,1.0,1,0,0.0
AL,1,5,2.0,19,9,0.47368421052631576
AL,1,5,3.0,5,0,0.0
AL,1,5,4.0,1,0,0.0
AL,1,6,1.0,2,0,0.0
AL,1,6,2.0,9,1,0.1111111111111111
AL,1,6,3.0,1,0,0.0
AL,1,7,1.0,2,0,0.0
AL,1,7,2.0,28,5,0.17857142857142858
AL,1,7,3.0,1,0,0.0
AL,1,7,4.0,1,0,0.0
AL,1,8,1.0,1,0,0.0
AL,1,8,2.0,9,1,0.1111111111111111
AL,1,8,3.0,1,0,0.0
AL,1,9,2.0,16,6,0.375
AL,1,9,3.0,4,0,0.0
AL,1,10,2.0,22,10,0.45454545454545453
AL,1,10,3.0,4,1,0.25
AL,1,10,4.0,2,1,0.5
AL,1,11,1.0,1,0,0.0
AL,1,11,2.0,26,11,0.4230769230769231
AL,1,11,3.0,3,0,0.0
AL,1,11,4.0,1,0,0.0
AL,1,12,2.0,18,9,0.5
AL,1,12,3.0,5,0,0.0
AL,1,12,4.0,3,2,0.6666666666666666
AL,2,1,1.0,1,0,0.0
AL,2,1,2.0,19,11,0.5789473684210527
AL,2,1,4.0,2,1,0.5
AL,2,2,1.0,2,0,0.0
AL,2,2,2.0,18,9,0.5
AL,2,2,3.0,1,0,0.0
AL,2,2,4.0,2,0,0.0
AL,2,3,1.0,2,0,0.0
