Feature_Index,Feature_Name,Importance,Rank
8,Duration_Min,0.12616952134600928,1
47,Feature_47,0.12455562050017271,2
7,Distance,0.09525383217376623,3
5,Wind_Speed,0.08889283131500476,4
26,Feature_26,0.07813466218258885,5
32,Weekend,0.06330395165758325,6
35,Dist_Bucket,0.06263256747805764,7
4,Visibility,0.04433181582813754,8
45,Feature_45,0.04367934504881493,9
24,Feature_24,0.04292813592305547,10
30,Month,0.04020820998303612,11
28,Hour,0.03804385973593188,12
1,Wind_Chill,0.019072234635882934,13
23,Feature_23,0.017960123652502165,14
6,Precipitation,0.01702387742731543,15
25,Feature_25,0.016541339046072624,16
31,Peak_Hour,0.015279418422425974,17
36,Night,0.014432176875618277,18
29,DayOfWeek,0.00942115753436236,19
34,Low_Visibility,0.007538132176079907,20
